Model,mAP_box,mAP_mask,time_avg,time_min,time_max,time_std
yolo11n-seg.onnx,0.5047485282438295,0.3578796422284199,45.51893500145525,40.70529993623495,71.90670003183186,3.5290032537789635
yolo11n-seg_fp16.onnx,0.5047485282438295,0.3578796422284199,52.732819996308535,42.34989988617599,78.11070000752807,8.855225689246241
yolo11n-seg_fp32.onnx,0.5047485282438295,0.3578796422284199,43.54164499556646,38.456000154837966,64.66220016591251,3.0314974093066653
yolo11n-seg_int8.onnx,0.48807637426517597,0.3574757277996662,46.20399099774659,40.886899922043085,57.077799923717976,3.0783481554336594
yolo11n-seg_pruned_10pct.onnx,0.5037748079722106,0.3595151748520242,42.683916001114994,37.466200068593025,49.21520012430847,1.9218106617545168
yolo11n-seg_pruned_15pct.onnx,0.5066088686054478,0.36009190572600464,42.57687299279496,39.670199854299426,49.16930012404919,1.8262551694156373
yolo11n-seg_pruned_20pct.onnx,0.5043901286284661,0.36057873148264863,44.206429994665086,34.291400108486414,59.772999957203865,3.766026306500655
yolo11n-seg_pruned_25pct.onnx,0.4986663930712504,0.3611418578383074,43.35906798718497,39.11260003224015,52.81769996508956,2.282848964647259
yolo11n-seg_pruned_30pct.onnx,0.4946432153581291,0.3616777343659806,44.40389099996537,39.319399977102876,65.7861998770386,4.1905841038487965
yolo11n-seg_pruned_35pct.onnx,0.48838706199732584,0.35786174751295147,44.288689005188644,39.51659984886646,84.6731998026371,4.911194379991037
yolo11n-seg_pruned_40pct.onnx,0.4743118504299644,0.3404221180817154,43.38847699807957,37.15130011551082,54.30780001915991,3.0429816090384483
yolo11n-seg_pruned_45pct.onnx,0.4355052097518742,0.31881918742432125,42.59109599515796,34.379200078547,48.1759998947382,2.323531282688755
yolo11n-seg_pruned_50pct.onnx,0.3619368502276073,0.2620750310361037,41.86582501512021,29.27489997819066,49.41139998845756,3.5101936393317597
yolo11n-seg_pruned_5pct.onnx,0.5032408355253372,0.3585975373535025,41.80864599533379,29.786800034344196,48.672900069504976,3.3493810647980244
