Date,Time,Power,Phase
16.1.2026,20:17:46.497,11.356,Idle
16.1.2026,20:17:47.006,6.435,Idle
16.1.2026,20:17:47.517,5.801,Idle
16.1.2026,20:17:48.025,5.658,Idle
16.1.2026,20:17:48.519,5.265,Idle
16.1.2026,20:17:49.027,8.429,Idle
16.1.2026,20:17:49.522,6.585,Idle
16.1.2026,20:17:50.022,4.676,Idle
16.1.2026,20:17:50.517,4.436,Idle
16.1.2026,20:17:51.030,5.475,Idle
16.1.2026,20:17:51.541,4.452,Idle
16.1.2026,20:17:52.040,4.473,Idle
16.1.2026,20:17:52.539,4.477,Idle
16.1.2026,20:17:53.037,4.587,Idle
16.1.2026,20:17:53.536,4.19,Idle
16.1.2026,20:17:54.042,14.876,yolo11n-seg_fp16.onnx
16.1.2026,20:17:54.532,16.995,yolo11n-seg_fp16.onnx
16.1.2026,20:17:55.042,16.36,yolo11n-seg_fp16.onnx
16.1.2026,20:17:55.531,16.36,yolo11n-seg_fp16.onnx
16.1.2026,20:17:56.036,43.104,yolo11n-seg_fp16.onnx
16.1.2026,20:17:56.539,42.892,yolo11n-seg_fp16.onnx
16.1.2026,20:17:57.041,42.892,yolo11n-seg_fp16.onnx
16.1.2026,20:17:57.531,43.158,yolo11n-seg_fp16.onnx
16.1.2026,20:17:58.035,43.211,yolo11n-seg_fp16.onnx
16.1.2026,20:17:58.553,43.715,yolo11n-seg_fp16.onnx
16.1.2026,20:17:59.076,43.52,yolo11n-seg_fp16.onnx
16.1.2026,20:17:59.564,40.648,yolo11n-seg_fp16.onnx
16.1.2026,20:18:0.060,40.648,yolo11n-seg_fp16.onnx
16.1.2026,20:18:0.574,5.255,Idle
16.1.2026,20:18:1.074,4.599,Idle
16.1.2026,20:18:1.575,4.599,Idle
16.1.2026,20:18:2.072,4.6,Idle
16.1.2026,20:18:2.570,4.514,Idle
16.1.2026,20:18:3.069,4.337,Idle
16.1.2026,20:18:3.568,4.35,Idle
16.1.2026,20:18:4.064,4.664,Idle
16.1.2026,20:18:4.564,4.27,Idle
16.1.2026,20:18:5.077,4.646,Idle
16.1.2026,20:18:5.589,4.541,Idle
16.1.2026,20:18:6.086,4.471,Idle
16.1.2026,20:18:6.586,4.521,Idle
16.1.2026,20:18:7.083,4.19,Idle
16.1.2026,20:18:7.586,4.459,Idle
16.1.2026,20:18:8.083,4.525,Idle
16.1.2026,20:18:8.596,4.536,Idle
16.1.2026,20:18:9.111,4.447,Idle
16.1.2026,20:18:9.622,4.762,Idle
16.1.2026,20:18:10.127,7.576,Idle
16.1.2026,20:18:10.631,43.271,yolo11n-seg_fp32.onnx
16.1.2026,20:18:11.135,41.975,yolo11n-seg_fp32.onnx
16.1.2026,20:18:11.624,42.234,yolo11n-seg_fp32.onnx
16.1.2026,20:18:12.129,43.717,yolo11n-seg_fp32.onnx
16.1.2026,20:18:12.650,43.859,yolo11n-seg_fp32.onnx
16.1.2026,20:18:13.153,41.729,yolo11n-seg_fp32.onnx
16.1.2026,20:18:13.642,42.054,yolo11n-seg_fp32.onnx
16.1.2026,20:18:14.157,30.146,yolo11n-seg_fp32.onnx
16.1.2026,20:18:14.658,5.005,Idle
16.1.2026,20:18:15.175,4.922,Idle
16.1.2026,20:18:15.673,4.345,Idle
16.1.2026,20:18:16.185,4.622,Idle
16.1.2026,20:18:16.700,4.568,Idle
16.1.2026,20:18:17.197,4.536,Idle
16.1.2026,20:18:17.694,4.29,Idle
16.1.2026,20:18:18.210,4.715,Idle
16.1.2026,20:18:18.705,4.294,Idle
16.1.2026,20:18:19.221,4.553,Idle
16.1.2026,20:18:19.718,4.448,Idle
16.1.2026,20:18:20.229,4.6,Idle
16.1.2026,20:18:20.727,4.295,Idle
16.1.2026,20:18:21.224,4.843,Idle
16.1.2026,20:18:21.724,8.343,Idle
16.1.2026,20:18:22.238,4.755,Idle
16.1.2026,20:18:22.738,4.621,Idle
16.1.2026,20:18:23.250,4.498,Idle
16.1.2026,20:18:23.749,4.377,Idle
16.1.2026,20:18:24.255,19.664,yolo11n-seg_int8.onnx
16.1.2026,20:18:24.762,38.543,yolo11n-seg_int8.onnx
16.1.2026,20:18:25.254,38.424,yolo11n-seg_int8.onnx
16.1.2026,20:18:25.761,37.915,yolo11n-seg_int8.onnx
16.1.2026,20:18:26.252,38.094,yolo11n-seg_int8.onnx
16.1.2026,20:18:26.764,37.771,yolo11n-seg_int8.onnx
16.1.2026,20:18:27.253,38.256,yolo11n-seg_int8.onnx
16.1.2026,20:18:27.760,37.991,yolo11n-seg_int8.onnx
16.1.2026,20:18:28.255,37.907,yolo11n-seg_int8.onnx
16.1.2026,20:18:28.759,38.26,yolo11n-seg_int8.onnx
16.1.2026,20:18:29.256,17.0,yolo11n-seg_int8.onnx
16.1.2026,20:18:29.755,5.13,Idle
16.1.2026,20:18:30.270,4.874,Idle
16.1.2026,20:18:30.766,4.379,Idle
16.1.2026,20:18:31.282,4.66,Idle
16.1.2026,20:18:31.782,4.586,Idle
16.1.2026,20:18:32.301,4.799,Idle
16.1.2026,20:18:32.797,4.381,Idle
16.1.2026,20:18:33.314,4.792,Idle
16.1.2026,20:18:33.812,4.365,Idle
16.1.2026,20:18:34.326,4.522,Idle
16.1.2026,20:18:34.840,4.442,Idle
16.1.2026,20:18:35.339,4.913,Idle
16.1.2026,20:18:35.839,4.522,Idle
16.1.2026,20:18:36.339,4.876,Idle
16.1.2026,20:18:36.837,4.449,Idle
16.1.2026,20:18:37.352,4.656,Idle
16.1.2026,20:18:37.849,4.606,Idle
16.1.2026,20:18:38.362,4.921,Idle
16.1.2026,20:18:38.859,4.257,Idle
16.1.2026,20:18:39.366,30.791,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:39.869,44.213,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:40.363,43.393,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:40.870,43.495,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:41.360,42.966,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:41.867,44.143,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:42.357,42.332,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:42.862,43.566,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:43.373,22.626,yolo11n_seg_prune_0_05.onnx
16.1.2026,20:18:43.888,5.119,Idle
16.1.2026,20:18:44.385,5.113,Idle
16.1.2026,20:18:44.880,4.638,Idle
16.1.2026,20:18:45.394,4.743,Idle
16.1.2026,20:18:45.894,4.55,Idle
16.1.2026,20:18:46.410,4.491,Idle
16.1.2026,20:18:46.907,4.523,Idle
16.1.2026,20:18:47.422,5.298,Idle
16.1.2026,20:18:47.936,4.42,Idle
16.1.2026,20:18:48.450,4.933,Idle
16.1.2026,20:18:48.965,4.601,Idle
16.1.2026,20:18:49.465,4.444,Idle
16.1.2026,20:18:49.964,4.563,Idle
16.1.2026,20:18:50.462,4.627,Idle
16.1.2026,20:18:50.962,4.538,Idle
16.1.2026,20:18:51.463,4.265,Idle
16.1.2026,20:18:51.961,4.206,Idle
16.1.2026,20:18:52.477,4.293,Idle
16.1.2026,20:18:52.975,4.423,Idle
16.1.2026,20:18:53.482,24.701,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:53.986,44.475,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:54.489,43.091,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:54.995,41.509,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:55.485,43.489,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:55.990,42.208,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:56.495,41.554,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:56.982,42.276,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:57.491,33.176,yolo11n_seg_prune_0_1.onnx
16.1.2026,20:18:57.985,6.572,Idle
16.1.2026,20:18:58.491,7.954,Idle
16.1.2026,20:18:59.013,7.447,Idle
16.1.2026,20:18:59.512,4.609,Idle
16.1.2026,20:19:0.009,4.703,Idle
16.1.2026,20:19:0.507,5.092,Idle
16.1.2026,20:19:1.006,5.045,Idle
16.1.2026,20:19:1.518,4.601,Idle
16.1.2026,20:19:2.017,4.662,Idle
16.1.2026,20:19:2.514,4.39,Idle
16.1.2026,20:19:3.029,4.291,Idle
16.1.2026,20:19:3.543,4.291,Idle
16.1.2026,20:19:4.041,5.208,Idle
16.1.2026,20:19:4.539,5.208,Idle
16.1.2026,20:19:5.037,4.395,Idle
16.1.2026,20:19:5.549,5.658,Idle
16.1.2026,20:19:6.062,5.658,Idle
16.1.2026,20:19:6.574,4.508,Idle
16.1.2026,20:19:7.071,5.98,Idle
16.1.2026,20:19:7.565,5.787,Idle
16.1.2026,20:19:8.069,17.754,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:8.577,44.215,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:9.063,41.313,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:9.564,42.103,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:10.071,43.162,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:10.572,42.591,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:11.074,41.482,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:11.565,41.926,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:12.075,28.939,yolo11n_seg_prune_0_15.onnx
16.1.2026,20:19:12.590,6.205,Idle
16.1.2026,20:19:13.090,4.621,Idle
16.1.2026,20:19:13.587,6.23,Idle
16.1.2026,20:19:14.087,4.524,Idle
16.1.2026,20:19:14.584,4.83,Idle
16.1.2026,20:19:15.080,4.806,Idle
16.1.2026,20:19:15.594,4.365,Idle
16.1.2026,20:19:16.109,4.264,Idle
16.1.2026,20:19:16.622,4.771,Idle
16.1.2026,20:19:17.136,4.362,Idle
16.1.2026,20:19:17.635,4.55,Idle
16.1.2026,20:19:18.133,4.332,Idle
16.1.2026,20:19:18.629,4.619,Idle
16.1.2026,20:19:19.130,4.367,Idle
16.1.2026,20:19:19.644,4.366,Idle
16.1.2026,20:19:20.142,4.359,Idle
16.1.2026,20:19:20.656,4.408,Idle
16.1.2026,20:19:21.169,4.457,Idle
16.1.2026,20:19:21.672,4.373,Idle
16.1.2026,20:19:22.183,20.11,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:22.671,43.489,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:23.190,41.288,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:23.695,42.623,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:24.187,41.893,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:24.690,43.342,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:25.195,41.879,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:25.702,41.774,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:26.202,19.075,yolo11n_seg_prune_0_2.onnx
16.1.2026,20:19:26.715,5.231,Idle
16.1.2026,20:19:27.216,4.993,Idle
16.1.2026,20:19:27.727,4.268,Idle
16.1.2026,20:19:28.226,4.559,Idle
16.1.2026,20:19:28.726,4.222,Idle
16.1.2026,20:19:29.222,4.598,Idle
16.1.2026,20:19:29.736,4.433,Idle
16.1.2026,20:19:30.235,4.448,Idle
16.1.2026,20:19:30.750,4.599,Idle
16.1.2026,20:19:31.263,4.543,Idle
16.1.2026,20:19:31.762,4.17,Idle
16.1.2026,20:19:32.260,4.641,Idle
16.1.2026,20:19:32.757,4.185,Idle
16.1.2026,20:19:33.257,4.497,Idle
16.1.2026,20:19:33.772,4.313,Idle
16.1.2026,20:19:34.271,4.753,Idle
16.1.2026,20:19:34.771,4.295,Idle
16.1.2026,20:19:35.273,4.303,Idle
16.1.2026,20:19:35.764,3.965,Idle
16.1.2026,20:19:36.270,31.821,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:36.774,41.689,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:37.280,40.032,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:37.799,42.162,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:38.318,42.49,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:38.822,42.103,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:39.325,42.401,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:39.818,39.739,yolo11n_seg_prune_0_25.onnx
16.1.2026,20:19:40.316,5.69,Idle
16.1.2026,20:19:40.831,4.836,Idle
16.1.2026,20:19:41.330,4.655,Idle
16.1.2026,20:19:41.844,4.361,Idle
16.1.2026,20:19:42.358,4.446,Idle
