Date,Time,Power,Phase
20.1.2026,23:25:39.126,11.54,Idle
20.1.2026,23:25:39.622,6.672,Idle
20.1.2026,23:25:40.118,6.438,Idle
20.1.2026,23:25:40.617,4.731,Idle
20.1.2026,23:25:41.125,6.271,Idle
20.1.2026,23:25:41.631,5.534,Idle
20.1.2026,23:25:42.123,6.325,Idle
20.1.2026,23:25:42.630,7.557,Idle
20.1.2026,23:25:43.129,4.848,Idle
20.1.2026,23:25:43.627,4.539,Idle
20.1.2026,23:25:44.124,4.316,Idle
20.1.2026,23:25:44.637,5.806,Idle
20.1.2026,23:25:45.151,4.745,Idle
20.1.2026,23:25:45.648,4.599,Idle
20.1.2026,23:25:46.165,4.782,Idle
20.1.2026,23:25:46.677,8.723,Idle
20.1.2026,23:25:47.174,4.718,Idle
20.1.2026,23:25:47.667,5.721,Idle
20.1.2026,23:25:48.174,5.915,Idle
20.1.2026,23:25:48.666,6.604,Idle
20.1.2026,23:25:49.176,5.849,Idle
20.1.2026,23:25:49.672,5.5,Idle
20.1.2026,23:25:50.166,6.928,Idle
20.1.2026,23:25:50.678,4.862,Idle
20.1.2026,23:25:51.192,4.802,Idle
20.1.2026,23:25:51.687,4.811,Idle
20.1.2026,23:25:52.186,4.778,Idle
20.1.2026,23:25:52.685,4.862,Idle
20.1.2026,23:25:53.195,5.041,yolo11n-seg_fp16.onnx
20.1.2026,23:25:53.710,5.911,yolo11n-seg_fp16.onnx
20.1.2026,23:25:54.225,4.613,yolo11n-seg_fp16.onnx
20.1.2026,23:25:54.722,4.605,yolo11n-seg_fp16.onnx
20.1.2026,23:25:55.219,5.915,yolo11n-seg_fp16.onnx
20.1.2026,23:25:55.716,5.429,yolo11n-seg_fp16.onnx
20.1.2026,23:25:56.214,4.312,yolo11n-seg_fp16.onnx
20.1.2026,23:25:56.712,6.405,yolo11n-seg_fp16.onnx
20.1.2026,23:25:57.224,5.104,yolo11n-seg_fp16.onnx
20.1.2026,23:25:57.731,16.209,yolo11n-seg_fp16.onnx
20.1.2026,23:25:58.235,20.019,yolo11n-seg_fp16.onnx
20.1.2026,23:25:58.741,15.07,yolo11n-seg_fp16.onnx
20.1.2026,23:25:59.249,14.577,yolo11n-seg_fp16.onnx
20.1.2026,23:25:59.754,16.86,yolo11n-seg_fp16.onnx
20.1.2026,23:26:0.253,17.826,yolo11n-seg_fp16.onnx
20.1.2026,23:26:0.745,20.479,yolo11n-seg_fp16.onnx
20.1.2026,23:26:1.253,21.553,yolo11n-seg_fp16.onnx
20.1.2026,23:26:1.755,21.76,yolo11n-seg_fp16.onnx
20.1.2026,23:26:2.241,21.805,yolo11n-seg_fp16.onnx
20.1.2026,23:26:2.750,8.281,yolo11n-seg_fp16.onnx
20.1.2026,23:26:3.262,5.385,Idle
20.1.2026,23:26:3.761,5.519,Idle
20.1.2026,23:26:4.273,5.179,Idle
20.1.2026,23:26:4.785,5.179,Idle
20.1.2026,23:26:5.284,6.225,Idle
20.1.2026,23:26:5.782,6.225,Idle
20.1.2026,23:26:6.278,5.045,yolo11n-seg_fp32.onnx
20.1.2026,23:26:6.774,6.326,yolo11n-seg_fp32.onnx
20.1.2026,23:26:7.287,5.818,yolo11n-seg_fp32.onnx
20.1.2026,23:26:7.785,5.335,yolo11n-seg_fp32.onnx
20.1.2026,23:26:8.282,5.702,yolo11n-seg_fp32.onnx
20.1.2026,23:26:8.777,4.604,yolo11n-seg_fp32.onnx
20.1.2026,23:26:9.290,5.726,yolo11n-seg_fp32.onnx
20.1.2026,23:26:9.803,5.5,yolo11n-seg_fp32.onnx
20.1.2026,23:26:10.302,5.8,yolo11n-seg_fp32.onnx
20.1.2026,23:26:10.800,4.359,yolo11n-seg_fp32.onnx
20.1.2026,23:26:11.297,5.699,yolo11n-seg_fp32.onnx
20.1.2026,23:26:11.793,6.016,yolo11n-seg_fp32.onnx
20.1.2026,23:26:12.306,5.283,yolo11n-seg_fp32.onnx
20.1.2026,23:26:12.814,7.979,yolo11n-seg_fp32.onnx
20.1.2026,23:26:13.305,18.647,yolo11n-seg_fp32.onnx
20.1.2026,23:26:13.813,21.715,yolo11n-seg_fp32.onnx
20.1.2026,23:26:14.312,21.816,yolo11n-seg_fp32.onnx
20.1.2026,23:26:14.812,19.951,yolo11n-seg_fp32.onnx
20.1.2026,23:26:15.318,5.197,Idle
20.1.2026,23:26:15.815,5.868,Idle
20.1.2026,23:26:16.314,5.553,Idle
