Time,Power,Phase
0.0,1.589,Idle
0.5,1.593,Idle
1.0,1.593,Idle
1.5,1.586,Idle
2.0,1.586,Idle
2.5,1.587,Idle
3.0,1.587,Idle
3.5,1.581,Idle
4.0,1.581,Idle
4.5,1.571,Idle
5.0,1.571,Idle
5.5,1.572,Idle
6.0,1.572,Idle
6.5,1.572,Idle
7.0,1.572,Idle
7.5,1.571,Idle
8.0,1.571,Idle
8.5,1.575,Idle
9.0,1.575,Idle
9.5,1.545,Idle
10.0,1.545,Idle
10.5,1.558,Idle
11.0,1.558,Idle
11.5,1.569,Idle
12.0,1.569,Idle
12.5,1.576,Idle
13.0,1.576,Idle
13.5,1.592,Idle
14.0,1.592,Idle
14.5,1.584,Idle
15.0,5.395,Idle
15.5,14.993,yolo11n-seg_fp16.onnx
16.0,24.476,yolo11n-seg_fp16.onnx
16.5,20.038,yolo11n-seg_fp16.onnx
17.0,17.89,yolo11n-seg_fp16.onnx
17.5,18.003,yolo11n-seg_fp16.onnx
18.0,17.991,yolo11n-seg_fp16.onnx
18.5,17.991,yolo11n-seg_fp16.onnx
19.0,17.896,yolo11n-seg_fp16.onnx
19.5,17.896,yolo11n-seg_fp16.onnx
20.0,17.896,yolo11n-seg_fp16.onnx
20.5,17.896,yolo11n-seg_fp16.onnx
21.0,17.89,yolo11n-seg_fp16.onnx
21.5,17.89,yolo11n-seg_fp16.onnx
22.0,4.236,Idle
22.5,4.236,Idle
23.0,2.936,Idle
23.5,2.936,Idle
24.0,1.622,Idle
24.5,1.622,Idle
25.0,1.597,Idle
25.5,1.597,Idle
26.0,1.59,Idle
26.5,1.59,Idle
27.0,1.832,Idle
27.5,3.061,Idle
28.0,9.73,Idle
28.5,15.509,yolo11n-seg_fp32.onnx
29.0,18.237,yolo11n-seg_fp32.onnx
29.5,16.856,yolo11n-seg_fp32.onnx
30.0,14.569,yolo11n-seg_fp32.onnx
30.5,14.569,yolo11n-seg_fp32.onnx
31.0,5.44,Idle
31.5,5.44,Idle
32.0,3.854,Idle
32.5,3.854,Idle
33.0,1.942,Idle
33.5,1.942,Idle
34.0,1.601,Idle
34.5,1.601,Idle
35.0,1.573,Idle
35.5,1.573,Idle
36.0,1.574,Idle
36.5,1.574,Idle
37.0,1.576,Idle
37.5,1.576,Idle
38.0,1.566,Idle
38.5,1.566,Idle
39.0,1.561,Idle
39.5,1.799,Idle
40.0,3.457,Idle
40.5,7.984,yolo11n-seg_int8.onnx
41.0,14.561,yolo11n-seg_int8.onnx
41.5,12.337,yolo11n-seg_int8.onnx
42.0,12.383,yolo11n-seg_int8.onnx
42.5,11.191,yolo11n-seg_int8.onnx
43.0,12.49,yolo11n-seg_int8.onnx
43.5,12.431,yolo11n-seg_int8.onnx
44.0,12.423,yolo11n-seg_int8.onnx
44.5,12.449,yolo11n-seg_int8.onnx
45.0,12.94,yolo11n-seg_int8.onnx
45.5,12.861,yolo11n-seg_int8.onnx
46.0,14.107,yolo11n-seg_int8.onnx
46.5,14.619,yolo11n-seg_int8.onnx
47.0,13.457,yolo11n-seg_int8.onnx
47.5,12.289,yolo11n-seg_int8.onnx
48.0,11.626,yolo11n-seg_int8.onnx
48.5,13.957,yolo11n-seg_int8.onnx
49.0,13.818,yolo11n-seg_int8.onnx
49.5,13.818,yolo11n-seg_int8.onnx
50.0,5.754,yolo11n-seg_int8.onnx
50.5,5.754,yolo11n-seg_int8.onnx
51.0,1.666,Idle
51.5,1.666,Idle
52.0,1.631,Idle
52.5,1.631,Idle
53.0,1.611,Idle
53.5,1.611,Idle
54.0,1.591,Idle
54.5,1.591,Idle
55.0,1.593,Idle
55.5,1.593,Idle
56.0,1.598,Idle
56.5,1.598,Idle
57.0,1.598,Idle
57.5,1.598,Idle
58.0,1.988,Idle
58.5,3.449,yolo11n_seg_prune_0_05.onnx
59.0,10.769,yolo11n_seg_prune_0_05.onnx
59.5,14.809,yolo11n_seg_prune_0_05.onnx
60.0,16.487,yolo11n_seg_prune_0_05.onnx
60.5,16.414,yolo11n_seg_prune_0_05.onnx
61.0,14.871,yolo11n_seg_prune_0_05.onnx
61.5,14.563,yolo11n_seg_prune_0_05.onnx
62.0,14.563,yolo11n_seg_prune_0_05.onnx
62.5,11.666,yolo11n_seg_prune_0_05.onnx
63.0,11.666,yolo11n_seg_prune_0_05.onnx
63.5,7.291,yolo11n_seg_prune_0_05.onnx
64.0,7.291,yolo11n_seg_prune_0_05.onnx
64.5,2.259,yolo11n_seg_prune_0_05.onnx
65.0,2.259,yolo11n_seg_prune_0_05.onnx
65.5,1.6,Idle
66.0,1.6,Idle
66.5,1.596,Idle
67.0,1.596,Idle
67.5,1.595,Idle
68.0,1.595,Idle
68.5,1.598,Idle
69.0,1.598,Idle
69.5,1.606,Idle
70.0,1.606,Idle
70.5,1.874,Idle
71.0,3.105,yolo11n_seg_prune_0_1.onnx
71.5,9.588,yolo11n_seg_prune_0_1.onnx
72.0,14.301,yolo11n_seg_prune_0_1.onnx
72.5,16.916,yolo11n_seg_prune_0_1.onnx
73.0,16.888,yolo11n_seg_prune_0_1.onnx
73.5,15.466,yolo11n_seg_prune_0_1.onnx
74.0,14.3,yolo11n_seg_prune_0_1.onnx
74.5,14.3,yolo11n_seg_prune_0_1.onnx
75.0,5.767,yolo11n_seg_prune_0_1.onnx
75.5,5.767,yolo11n_seg_prune_0_1.onnx
76.0,3.967,yolo11n_seg_prune_0_1.onnx
76.5,3.967,yolo11n_seg_prune_0_1.onnx
77.0,1.91,Idle
77.5,1.91,Idle
78.0,1.629,Idle
78.5,1.629,Idle
79.0,1.603,Idle
79.5,1.603,Idle
80.0,1.599,Idle
80.5,1.599,Idle
81.0,1.596,Idle
81.5,1.596,Idle
82.0,1.597,Idle
82.5,1.597,Idle
83.0,1.756,Idle
83.5,5.645,yolo11n_seg_prune_0_15.onnx
84.0,19.242,yolo11n_seg_prune_0_15.onnx
84.5,24.944,yolo11n_seg_prune_0_15.onnx
85.0,24.253,yolo11n_seg_prune_0_15.onnx
85.5,19.824,yolo11n_seg_prune_0_15.onnx
86.0,16.818,yolo11n_seg_prune_0_15.onnx
86.5,16.818,yolo11n_seg_prune_0_15.onnx
87.0,8.883,yolo11n_seg_prune_0_15.onnx
87.5,8.883,yolo11n_seg_prune_0_15.onnx
88.0,6.904,yolo11n_seg_prune_0_15.onnx
88.5,6.904,yolo11n_seg_prune_0_15.onnx
89.0,3.445,yolo11n_seg_prune_0_15.onnx
89.5,3.445,yolo11n_seg_prune_0_15.onnx
90.0,1.798,Idle
90.5,1.798,Idle
91.0,1.618,Idle
91.5,1.618,Idle
92.0,1.606,Idle
92.5,1.606,Idle
93.0,1.598,Idle
93.5,1.598,Idle
94.0,1.596,Idle
94.5,1.596,Idle
95.0,1.611,Idle
95.5,3.337,yolo11n_seg_prune_0_2.onnx
96.0,13.751,yolo11n_seg_prune_0_2.onnx
96.5,24.622,yolo11n_seg_prune_0_2.onnx
97.0,25.203,yolo11n_seg_prune_0_2.onnx
97.5,21.348,yolo11n_seg_prune_0_2.onnx
98.0,17.353,yolo11n_seg_prune_0_2.onnx
98.5,17.353,yolo11n_seg_prune_0_2.onnx
