Temps (s),Tension (V),Courant (A),Watt (W)
0,5.13625,0.22400,1.1505200000000002
1,5.13625,0.22400,1.1505200000000002
2,5.13625,0.22395,1.1502631875000002
3,5.13625,0.22373,1.1491332125000002
4,5.13625,0.22377,1.1493386625000002
5,5.13625,0.22400,1.1505200000000002
6,5.13625,0.22375,1.1492359375
7,5.13625,0.22350,1.1479518750000002
8,5.13625,0.22350,1.1479518750000002
9,5.12875,0.22390,1.148327125
10,5.11413,0.22440,1.147610772
11,5.10438,0.22450,1.14593331
12,5.10562,0.22450,1.1462116900000001
13,5.10975,0.22750,1.162468125
14,5.10938,0.25075,1.2811770349999998
15,5.09869,0.30565,1.5584145985
16,5.07031,0.37590,1.905929529
17,5.04412,0.44916,2.2656169392
18,5.02844,0.47642,2.3956493848
19,5.02844,0.47627,2.3948951188
20,5.02925,0.47785,2.4032271125
21,5.02862,0.47703,2.3988025986
22,5.02819,0.47325,2.3795909175000003
23,5.02800,0.47310,2.3787468
24,5.02688,0.47850,2.40536208
25,5.02737,0.48305,2.4284710785
26,5.02963,0.48095,2.4190005485
27,5.02950,0.47870,2.40762165
28,5.02719,0.47747,2.4003324093000002
29,5.02681,0.47703,2.3979391743000003
30,5.02762,0.47845,2.405464789
31,5.02788,0.47920,2.409360096
32,5.02706,0.47930,2.409469858
33,5.02719,0.47985,2.4122971215
34,5.02750,0.47905,2.408423875
35,5.02725,0.47980,2.4120745500000003
36,5.02625,0.48215,2.4234064375
37,5.02650,0.48247,2.4251354550000004
38,5.02744,0.48002,2.4132717488
39,5.02688,0.47710,2.3983244480000003
40,5.02694,0.47738,2.3997606172
41,5.02750,0.47900,2.4081725
42,5.02700,0.47785,2.40215195
43,5.02537,0.47630,2.3935837309999997
44,5.02488,0.47710,2.397370248
45,5.02600,0.48165,2.4207729000000002
46,5.02625,0.48618,2.443662225
47,5.02662,0.48310,2.428360122
48,5.02694,0.47920,2.408909648
49,5.02663,0.47780,2.401723814
50,5.02656,0.47783,2.4018411648
51,5.02675,0.47908,2.40821539
52,5.02606,0.47965,2.4107496790000003
53,5.02594,0.48000,2.4124512
54,5.02694,0.47903,2.4080550682
55,5.02675,0.48975,2.4618508125
56,5.02625,0.48608,2.4431596
57,5.02625,0.48250,2.425165625
58,5.02625,0.47780,2.40154225
59,5.02569,0.47957,2.4101701533
60,5.02556,0.47868,2.4056350608
61,5.02619,0.47783,2.4016643676999996
62,5.02575,0.47916,2.40813837
63,5.02556,0.48245,2.4245814219999997
64,5.02600,0.48612,2.44323912
65,5.02656,0.48512,2.4384847871999997
66,5.02669,0.48105,2.4180892245
67,5.02787,0.47550,2.3907521849999998
68,5.03762,0.45355,2.2848125510000004
69,5.06075,0.41612,2.10587929
70,5.09238,0.34040,1.733446152
71,5.12219,0.25140,1.2877185660000001
72,5.13094,0.22780,1.168828132
73,5.13331,0.22772,1.1689573532
74,5.13500,0.22750,1.1682125
75,5.13500,0.22750,1.1682125
76,5.13500,0.22750,1.1682125
77,5.13500,0.22750,1.1682125
78,5.13500,0.22750,1.1682125
79,5.13456,0.22733,1.1672395247999998
80,5.12906,0.23112,1.1854283472
81,5.11656,0.25662,1.3130116272
82,5.09415,0.31430,1.6010913450000002
83,5.06862,0.38472,1.9499994864
84,5.04250,0.45485,2.293581125
85,5.02719,0.47930,2.409532167
86,5.02681,0.47940,2.409852714
87,5.02613,0.47855,2.4052545115
88,5.02589,0.47778,2.4012697242
89,5.02631,0.47975,2.4113722225
90,5.02681,0.48130,2.4194036530000003
91,5.02625,0.48025,2.4138565625
92,5.02556,0.47945,2.4095047419999998
93,5.02569,0.47955,2.4100696395
94,5.02450,0.48038,2.41366931
95,5.02381,0.48132,2.4180602292
96,5.02487,0.48008,2.4123395896
97,5.02638,0.48025,2.413918995
98,5.02619,0.48393,2.4323241267
99,5.02556,0.48667,2.4457892851999996
100,5.02594,0.48383,2.4317005502
101,5.02625,0.48008,2.4130021
102,5.02606,0.48043,2.4146700058
103,5.02600,0.48285,2.4268041
104,5.02781,0.48500,2.4384878499999996
105,5.02769,0.48280,2.427368732
106,5.02563,0.47950,2.4097895849999995
107,5.02569,0.48048,2.4147435312
108,5.02625,0.48075,2.4163696875
109,5.02525,0.47957,2.4099591425
110,5.02450,0.47990,2.4112575499999997
111,5.02500,0.48000,2.412
112,5.02587,0.48140,2.419453818
113,5.02625,0.48270,2.426170875
114,5.02519,0.48177,2.4209857863
