Time,Tension (V),Courant (A),Power,Phase
0,5.13625,0.224,1.15052,Idle
1,5.13625,0.224,1.15052,Idle
2,5.13625,0.22395,1.150263375,Idle
3,5.13625,0.22373,1.149133225,Idle
4,5.13625,0.22377,1.149338625,Idle
5,5.13625,0.224,1.15052,Idle
6,5.13625,0.22375,1.149235925,Idle
7,5.13625,0.2235,1.147951875,Idle
8,5.13625,0.2235,1.147951875,Idle
9,5.12875,0.2239,1.148327125,Idle
10,5.11413,0.2244,1.147610772,Idle
11,5.10438,0.2245,1.14593331,Idle
12,5.10562,0.2245,1.14621169,Idle
13,5.10975,0.2275,1.162468125,Idle
14,5.10938,0.25075,1.281177035,Idle
15,5.09869,0.30565,1.558414599,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
16,5.07031,0.3759,1.905930129,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
17,5.04412,0.44916,2.265617349,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
18,5.02844,0.47642,2.395648584,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
19,5.02844,0.47627,2.394894619,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
20,5.02844,0.4763,2.395045377,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
21,5.02844,0.47623,2.394693609,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
22,5.02844,0.47633,2.395196144,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
23,5.02844,0.4764,2.39554804,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
24,5.02844,0.47642,2.395648584,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
25,5.02844,0.47645,2.395799342,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
26,5.02844,0.47648,2.3959501,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
27,5.02844,0.4765,2.396050604,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
28,5.02844,0.4765,2.396050604,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
29,5.02844,0.4765,2.396050604,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
30,5.02844,0.47655,2.396301863,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
31,5.02844,0.47657,2.396402367,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
32,5.02844,0.4766,2.396553124,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
33,5.02844,0.47663,2.396703882,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
34,5.02844,0.47665,2.396804386,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
35,5.02844,0.47665,2.396804386,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
36,5.02844,0.47667,2.39690489,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
37,5.02844,0.4767,2.397055648,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
38,5.02844,0.47675,2.397306907,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
39,5.02844,0.47677,2.397407411,yolo11n_seg_prune_0_15_openvino_2022.1_8shave.blob
