Time,Tension (V),Courant (A),Power,Phase
0,5.21575,0.34148,1.78107431,Idle
1,5.21444,0.35515,1.851908366,Idle
2,5.21362,0.36380,1.896714956,Idle
3,5.21469,0.35465,1.8493898085000002,Idle
4,5.21600,0.34085,1.7778736,Idle
5,5.21600,0.33838,1.7649900800000002,Idle
6,5.21488,0.35295,1.8405918959999998,Idle
7,5.21363,0.36470,1.9014108610000002,Idle
8,5.21406,0.36015,1.8778437090000002,Idle
9,5.21569,0.34292,1.7885644148000002,Idle
10,5.21625,0.33573,1.7512516124999997,Idle
11,5.21625,0.34412,1.7950159499999998,Idle
12,5.20875,0.42790,2.228824125,yolo11n_seg_prune_0_2.onnx
13,5.20313,0.49315,2.5659235595,yolo11n_seg_prune_0_2.onnx
14,5.20185,0.49885,2.5949428725000003,yolo11n_seg_prune_0_2.onnx
15,5.1980,0.5292,2.7507816000000003,yolo11n_seg_prune_0_2.onnx
16,5.19350,0.58240,3.0246944000000004,yolo11n_seg_prune_0_2.onnx
17,5.19125,0.60723,3.1522827375,yolo11n_seg_prune_0_2.onnx
18,5.19337,0.58345,3.0300717265,yolo11n_seg_prune_0_2.onnx
19,5.18656,0.65802,3.4128602112000004,yolo11n_seg_prune_0_2.onnx
20,5.16362,0.86268,4.4545517016,yolo11n_seg_prune_0_2.onnx
21,5.15219,1.02645,5.2884654255,yolo11n_seg_prune_0_2.onnx
22,5.14963,1.06662,5.4926983506,yolo11n_seg_prune_0_2.onnx
23,5.15050,1.06240,5.4718912,yolo11n_seg_prune_0_2.onnx
24,5.15100,1.06533,5.48751483,yolo11n_seg_prune_0_2.onnx
25,5.14987,1.06963,5.5084554481,yolo11n_seg_prune_0_2.onnx
26,5.14956,1.06147,5.4661034532,yolo11n_seg_prune_0_2.onnx
27,5.14994,1.04775,5.395849634999999,yolo11n_seg_prune_0_2.onnx
28,5.14925,1.06560,5.487040800000001,yolo11n_seg_prune_0_2.onnx
29,5.14812,1.07400,5.5290808799999995,yolo11n_seg_prune_0_2.onnx
30,5.14806,1.06620,5.488861572,yolo11n_seg_prune_0_2.onnx
31,5.14875,1.06500,5.483418749999999,yolo11n_seg_prune_0_2.onnx
32,5.14875,1.07023,5.5103467125,yolo11n_seg_prune_0_2.onnx
33,5.14925,1.06907,5.5049086975,yolo11n_seg_prune_0_2.onnx
34,5.14981,1.06625,5.4909849125,yolo11n_seg_prune_0_2.onnx
35,5.14963,1.06965,5.5083017295,yolo11n_seg_prune_0_2.onnx
36,5.14973,1.06343,5.4763773739,yolo11n_seg_prune_0_2.onnx
37,5.15013,1.05263,5.4211813419,yolo11n_seg_prune_0_2.onnx
38,5.14937,1.05807,5.4483939159000006,yolo11n_seg_prune_0_2.onnx
39,5.14875,1.06837,5.5007700375,yolo11n_seg_prune_0_2.onnx
40,5.14894,1.07570,5.538714758,yolo11n_seg_prune_0_2.onnx
41,5.14938,1.07305,5.525542209,yolo11n_seg_prune_0_2.onnx
42,5.14899,1.06627,5.4902135673000005,yolo11n_seg_prune_0_2.onnx
43,5.14812,1.07803,5.5498278035999995,yolo11n_seg_prune_0_2.onnx
44,5.14888,1.07200,5.519599360000001,yolo11n_seg_prune_0_2.onnx
45,5.1500,1.05603,5.4385545,yolo11n_seg_prune_0_2.onnx
46,5.14937,1.06700,5.49437779,yolo11n_seg_prune_0_2.onnx
47,5.14931,1.07190,5.519545389,yolo11n_seg_prune_0_2.onnx
48,5.16088,1.06500,5.496337199999999,yolo11n_seg_prune_0_2.onnx
49,5.14888,1.07100,5.51445048,yolo11n_seg_prune_0_2.onnx
50,5.14819,1.08032,5.5616926208,yolo11n_seg_prune_0_2.onnx
51,5.14812,1.07825,5.550960389999999,yolo11n_seg_prune_0_2.onnx
52,5.14806,1.07383,5.528141269800001,yolo11n_seg_prune_0_2.onnx
53,5.14856,1.07425,5.53084058,yolo11n_seg_prune_0_2.onnx
54,5.14875,1.07830,5.551897125,yolo11n_seg_prune_0_2.onnx
55,5.14875,1.07728,5.5466454,yolo11n_seg_prune_0_2.onnx
56,5.14894,1.06980,5.508336012,yolo11n_seg_prune_0_2.onnx
57,5.14938,1.06477,5.4829053426,yolo11n_seg_prune_0_2.onnx
58,5.14906,1.07177,5.5186080362,yolo11n_seg_prune_0_2.onnx
59,5.14806,1.08420,5.581526652,yolo11n_seg_prune_0_2.onnx
60,5.14850,1.08550,5.5886967499999995,yolo11n_seg_prune_0_2.onnx
61,5.15006,1.06163,5.4674581978,yolo11n_seg_prune_0_2.onnx
62,5.14937,1.06925,5.505963872500001,yolo11n_seg_prune_0_2.onnx
63,5.14806,1.08675,5.594654205,yolo11n_seg_prune_0_2.onnx
64,5.14925,1.07677,5.5445579225,yolo11n_seg_prune_0_2.onnx
65,5.14944,1.07408,5.5309105151999995,yolo11n_seg_prune_0_2.onnx
66,5.14881,1.07335,5.5264752135,yolo11n_seg_prune_0_2.onnx
67,5.14825,1.07455,5.5320520375,yolo11n_seg_prune_0_2.onnx
68,5.14806,1.07370,5.527472022,yolo11n_seg_prune_0_2.onnx
69,5.14819,1.07492,5.5338923948000005,yolo11n_seg_prune_0_2.onnx
70,5.14812,1.08200,5.57026584,yolo11n_seg_prune_0_2.onnx
71,5.14819,1.07920,5.555926647999999,yolo11n_seg_prune_0_2.onnx
72,5.14756,1.07970,5.557820532000001,yolo11n_seg_prune_0_2.onnx
73,5.14712,1.08970,5.608816664,yolo11n_seg_prune_0_2.onnx
74,5.14788,1.08685,5.594973378000001,yolo11n_seg_prune_0_2.onnx
75,5.14832,1.07595,5.5393349039999995,yolo11n_seg_prune_0_2.onnx
76,5.14712,1.08928,5.6066548736,yolo11n_seg_prune_0_2.onnx
77,5.14631,1.08632,5.590539479199999,yolo11n_seg_prune_0_2.onnx
78,5.14694,1.08858,5.6028559452,yolo11n_seg_prune_0_2.onnx
79,5.14812,1.08025,5.561256629999999,yolo11n_seg_prune_0_2.onnx
80,5.14812,1.08500,5.585710199999999,yolo11n_seg_prune_0_2.onnx
81,5.14888,1.08895,5.606872876000001,yolo11n_seg_prune_0_2.onnx
82,5.16481,0.93387,4.8232611147,yolo11n_seg_prune_0_2.onnx
83,5.19287,0.59103,3.0691419561,Idle
84,5.20931,0.40980,2.134775238,Idle
85,5.21306,0.36825,1.919709345,Idle
86,5.21450,0.35205,1.835764725,Idle
87,5.21531,0.34585,1.8037149634999998,Idle
88,5.21600,0.34522,1.8006675200000002,Idle
89,5.21625,0.34468,1.7979370499999998,Idle
90,5.21625,0.34450,1.7969981249999998,Idle
91,5.21625,0.34440,1.7964764999999998,Idle
92,5.21025,0.36478,1.900594995,Idle
93,5.18737,0.64658,3.3540496946,yolo11n_seg_prune_0_25.onnx
94,5.15906,0.95260,4.914520556,yolo11n_seg_prune_0_25.onnx
95,5.14812,1.08100,5.565117719999999,yolo11n_seg_prune_0_25.onnx
96,5.14812,1.07850,5.55224742,yolo11n_seg_prune_0_25.onnx
97,5.14750,1.07982,5.55837345,yolo11n_seg_prune_0_25.onnx
98,5.14806,1.07768,5.5479613008,yolo11n_seg_prune_0_25.onnx
99,5.14869,1.07305,5.524801804500001,yolo11n_seg_prune_0_25.onnx
100,5.14875,1.07245,5.521776937499999,yolo11n_seg_prune_0_25.onnx
