Temps (s),Tension (V),Courant (A),Watt (W)
0,5.21625,0.33467,1.7457223875
0,5.21625,0.33450,1.744835625
1,5.21606,0.33615,1.7533785689999999
2,5.21556,0.34055,1.7761589580000001
3,5.21569,0.33945,1.7704659705
4,5.21625,0.33450,1.744835625
5,5.21625,0.33475,1.7461396875
6,5.21625,0.33498,1.7473394249999998
7,5.21625,0.33500,1.74744375
8,5.21625,0.33477,1.7462440124999998
9,5.21625,0.33665,1.7560505624999998
10,5.21625,0.33768,1.7614232999999997
11,5.21625,0.33550,1.750051875
12,5.21625,0.33500,1.74744375
13,5.21625,0.33500,1.74744375
14,5.21375,0.36360,1.8957195
15,5.20531,0.43630,2.271076753
16,5.20237,0.48792,2.5383403704000003
17,5.20131,0.50063,2.6039318253
18,5.20269,0.48252,2.5104019788
19,5.20313,0.47505,2.4717469065
20,5.19456,0.57118,2.9670287808
21,5.1900,0.62725,3.2554275
22,5.19363,0.56925,2.9564738775
23,5.17562,0.77825,4.0279262650000005
24,5.15331,1.03082,5.312135014200001
25,5.15094,1.06848,5.503676371200001
26,5.14963,1.06980,5.509074174
27,5.14884,1.06558,5.4865009272
28,5.14963,1.05935,5.4552605405
29,5.15044,1.05987,5.4587968428
30,5.15006,1.06487,5.4841443922
31,5.14906,1.06817,5.500071420200001
32,5.14906,1.06730,5.495591738
33,5.14944,1.07325,5.5266364800000005
34,5.14913,1.07853,5.553491178900001
35,5.14875,1.07930,5.557045874999999
36,5.14881,1.07702,5.5453713462000005
37,5.14964,1.07167,5.518714698799999
38,5.14869,1.06675,5.492365057500001
39,5.14819,1.06853,5.5009954607
40,5.15000,1.05225,5.4190875
41,5.15069,1.05177,5.4173412213
42,5.14913,1.07355,5.5278485115
43,5.14863,1.07532,5.5364248116
44,5.15019,1.06353,5.4773815707
45,5.14975,1.06350,5.476759124999999
46,5.14844,1.07160,5.517068304
47,5.14913,1.06737,5.4960268881
48,5.15000,1.06000,5.4590000000000005
49,5.14931,1.06347,5.476136705699999
50,5.14806,1.07033,5.5101230598
51,5.14869,1.06845,5.5011178305
52,5.15000,1.06102,5.464253000000001
53,5.14919,1.07088,5.5141645872
54,5.14829,1.08250,5.573023925
55,5.14875,1.06575,5.487280312499999
56,5.14875,1.06625,5.489854687499999
57,5.14819,1.07872,5.553455516799999
58,5.14812,1.08218,5.571192501599999
59,5.14869,1.07730,5.5466837369999995
60,5.14825,1.07507,5.5347291274999995
61,5.14762,1.07545,5.536007929
62,5.14794,1.07815,5.550251511
63,5.14881,1.07597,5.5399650957
64,5.14875,1.07187,5.5187906625
65,5.14744,1.07915,5.554859876
66,5.14760,1.07928,5.555701728
67,5.14925,1.06455,5.481634087500001
68,5.14981,1.06385,5.4786253685
69,5.14906,1.07850,5.5532612100000005
70,5.1480,1.08452,5.58310896
71,5.14744,1.07477,5.5323140888
72,5.14681,1.07782,5.5473347542
73,5.14750,1.08850,5.60305375
74,5.14875,1.08100,5.56579875
75,5.14825,1.07795,5.5495560875
76,5.14899,1.08792,5.6016892008
77,5.14687,1.08985,5.6093162695
78,5.14737,1.08028,5.560600863599999
79,5.14750,1.08025,5.560586874999999
80,5.14712,1.08910,5.605728392
81,5.14712,1.08785,5.599294492
82,5.14762,1.07695,5.543729359
83,5.14781,1.0052,5.174578612
84,5.15488,0.99747,5.1418381536
