Temps (s),Tension (V),Courant (A),Watt (W)
0,5.21606,0.33057,1.7242729541999997
0,5.21575,0.34148,1.78107431
1,5.21444,0.35515,1.851908366
2,5.21362,0.36380,1.896714956
3,5.21469,0.35465,1.8493898085000002
4,5.21600,0.34085,1.7778736
5,5.21600,0.33838,1.7649900800000002
6,5.21488,0.35295,1.8405918959999998
7,5.21363,0.36470,1.9014108610000002
8,5.21406,0.36015,1.8778437090000002
9,5.21569,0.34292,1.7885644148000002
10,5.21625,0.33573,1.7512516124999997
11,5.21625,0.34412,1.7950159499999998
12,5.20875,0.42790,2.228824125
13,5.20313,0.49315,2.5659235595
14,5.20185,0.49885,2.5949428725000003
15,5.1980,0.5292,2.7507816000000003
16,5.19350,0.58240,3.0246944000000004
17,5.19125,0.60723,3.1522827375
18,5.19337,0.58345,3.0300717265
19,5.18656,0.65802,3.4128602112000004
20,5.16362,0.86268,4.4545517016
21,5.15219,1.02645,5.2884654255
22,5.14963,1.06662,5.4926983506
23,5.15050,1.06240,5.4718912
24,5.15100,1.06533,5.48751483
25,5.14987,1.06963,5.5084554481
26,5.14956,1.06147,5.4661034532
27,5.14994,1.04775,5.395849634999999
28,5.14925,1.06560,5.487040800000001
29,5.14812,1.07400,5.5290808799999995
30,5.14806,1.06620,5.488861572
31,5.14875,1.06500,5.483418749999999
32,5.14875,1.07023,5.5103467125
33,5.14925,1.06907,5.5049086975
34,5.14981,1.06625,5.4909849125
35,5.14963,1.06965,5.5083017295
36,5.14973,1.06343,5.4763773739
37,5.15013,1.05263,5.4211813419
38,5.14937,1.05807,5.4483939159000006
39,5.14875,1.06837,5.5007700375
40,5.14894,1.07570,5.538714758
41,5.14938,1.07305,5.525542209
42,5.14899,1.06627,5.4902135673000005
43,5.14812,1.07803,5.5498278035999995
44,5.14888,1.07200,5.519599360000001
45,5.1500,1.05603,5.4385545
46,5.14937,1.06700,5.49437779
47,5.14931,1.07190,5.519545389
48,5.16088,1.06500,5.496337199999999
49,5.14888,1.07100,5.51445048
50,5.14819,1.08032,5.5616926208
51,5.14812,1.07825,5.550960389999999
52,5.14806,1.07383,5.528141269800001
53,5.14856,1.07425,5.53084058
54,5.14875,1.07830,5.551897125
55,5.14875,1.07728,5.5466454
56,5.14894,1.06980,5.508336012
57,5.14938,1.06477,5.4829053426
58,5.14906,1.07177,5.5186080362
59,5.14806,1.08420,5.581526652
60,5.14850,1.08550,5.5886967499999995
61,5.15006,1.06163,5.4674581978
62,5.14937,1.06925,5.505963872500001
63,5.14806,1.08675,5.594654205
64,5.14925,1.07677,5.5445579225
65,5.14944,1.07408,5.5309105151999995
66,5.14881,1.07335,5.5264752135
67,5.14825,1.07455,5.5320520375
68,5.14806,1.07370,5.527472022
69,5.14819,1.07492,5.5338923948000005
70,5.14812,1.08200,5.57026584
71,5.14819,1.07920,5.555926647999999
72,5.14756,1.07970,5.557820532000001
73,5.14712,1.08970,5.608816664
74,5.14788,1.08685,5.594973378000001
75,5.14832,1.07595,5.5393349039999995
76,5.14712,1.08928,5.6066548736
77,5.14631,1.08632,5.590539479199999
78,5.14694,1.08858,5.6028559452
79,5.14812,1.08025,5.561256629999999
80,5.14812,1.08500,5.585710199999999
81,5.14888,1.08895,5.606872876000001
82,5.16481,0.93387,4.8232611147
83,5.19287,0.59103,3.0691419561
84,5.20931,0.40980,2.134775238
85,5.21306,0.36825,1.919709345
86,5.21450,0.35205,1.835764725
87,5.21531,0.34585,1.8037149634999998
88,5.21600,0.34522,1.8006675200000002
89,5.21625,0.34468,1.7979370499999998
90,5.21625,0.34450,1.7969981249999998
91,5.21625,0.34440,1.7964764999999998
92,5.21025,0.36478,1.900594995
93,5.18737,0.64658,3.3540496946
94,5.15906,0.95260,4.914520556
95,5.14812,1.08100,5.565117719999999
96,5.14812,1.07850,5.55224742
97,5.14750,1.07982,5.55837345
98,5.14806,1.07768,5.5479613008
99,5.14869,1.07305,5.524801804500001
100,5.14875,1.07245,5.521776937499999
101,5.14787,1.07660,5.542196842
102,5.14712,1.08700,5.59491944
103,5.14725,1.08952,5.60803182
104,5.14750,1.08648,5.592655799999999
105,5.14750,1.08805,5.600737375
106,5.14750,1.08992,5.6103632
107,5.14731,1.08782,5.5993467642
108,5.14687,1.08998,5.6099853626
109,5.14706,1.09245,5.622905696999999
110,5.14812,1.07508,5.5346408496
111,5.14744,1.07798,5.548837371199999
112,5.14694,1.09345,5.627921543
113,5.14750,1.08675,5.594045625000001
114,5.14750,1.08173,5.568205175
115,5.14687,1.08845,5.602110651499999
116,5.14631,1.09603,5.6405101493
117,5.14756,1.08563,5.588345562800001
118,5.14856,1.07862,5.5533397872
119,5.14750,1.08790,5.59996525
120,5.14660,1.09550,5.6381003
121,5.14775,1.08885,5.605127587500001
122,5.14931,1.07110,5.515425940999999
123,5.14844,1.07650,5.54229566
124,5.14687,1.08995,5.6098309565
125,5.14706,1.08735,5.596655691
126,5.14734,1.08515,5.585636001
127,5.14675,1.09055,5.612788212499999
128,5.14625,1.09720,5.6464655
129,5.14625,1.09810,5.651097125000001
130,5.14681,1.09000,5.610022900000001
131,5.14750,1.08805,5.600737375
132,5.14750,1.08508,5.5854493000000005
133,5.14700,1.09308,5.626082760000001
134,5.14637,1.10220,5.672329014000001
135,5.14625,1.10258,5.674152325
136,5.14656,1.09295,5.624932752
137,5.14644,1.08360,5.576682384
138,5.14612,1.09258,5.6225477896000005
139,5.14687,1.09462,5.6338668393999995
140,5.14725,1.09113,5.616318892499999
141,5.14644,1.08920,5.605502448
142,5.14582,1.09620,5.640847884
143,5.14625,1.09700,5.64543625
144,5.14600,1.09260,5.6225196
145,5.14569,1.09790,5.649453051000001
146,5.14625,1.09942,5.657890175
147,5.14625,1.10125,5.667307812500001
148,5.14625,1.09992,5.6604633
149,5.14581,1.09775,5.6488129275
150,5.14612,1.09978,5.6595998536
151,5.14637,1.10632,5.6935320584
152,5.14575,1.10842,5.703652214999999
153,5.16180,0.95935,4.951972830000001
154,5.19050,0.62365,3.2370553250000005
155,5.20756,0.43295,2.254613102
156,5.21263,0.37618,1.9608871534
157,5.21425,0.35915,1.8726978875
158,5.21500,0.35085,1.82968275
159,5.21500,0.35045,1.8275967499999999
160,5.21500,0.35015,1.8260322500000001
161,5.21500,0.34968,1.8235812
162,5.21500,0.34925,1.82133875
163,5.21500,0.34900,1.8200349999999998
164,5.19531,0.56675,2.9444419425
165,5.15994,0.92197,4.7573098817999995
166,5.14925,1.07228,5.52143779
167,5.14719,1.08816,5.6009662704
168,5.14669,1.08995,5.6096347655
169,5.14881,1.09038,5.6141594478
170,5.14787,1.09217,5.6223491779
171,5.14737,1.08112,5.5649246543999995
172,5.14719,1.07353,5.525662880700001
173,5.14619,1.08747,5.5963272393
174,5.14587,1.09195,5.6190327465
